अफ्रीका	Afriko
मलगुझा	Nigravosta limozo
बगाले सिमकुखुरा	Verdkrura galinolo
चञ्चले सुड्सुडिया	Blankventra tringo
लघु राजपुत्रिका	Malgranda pluvio
आँसीठुँडे	Granda kurlo
अलकचन्द्र राजपुत्रिका	Marborda pluvio
फालीठुँडे सुड्सुडिया	Terekio
बडा राजपुत्रिका	Dezertpluvio
सानो आँसीठुँडे	Malgranda kurlo
लालखुट्टे टिमटिमा	Ruĝkrura tringo
जलअप्सरा	Longvosta jakanao
प्रशान्त सर्षपी	Siberia orpluvio
वायु फ्यालफ्याले	Hirunda ŝterno
ओस्कार	Oskar-premio
प्रोक्यारियोटिक कोशिका	Prokariotoj
बिच्छी	Skorpio
जर्ज बर्नाड शा	George Bernard Shaw
ई.पू. १०१८	1018
ई.पू. १०२०	1020
ई.पू. १०२१	1021
ई.पू. १०२२	1022
ई.पू. १०२३	1023
ई.पू. १०२४	1024
ई.पू. १०२५	1025
फुटबल विश्वकप	Futbala Mondpokalo
ई.पू. १०३३	1033
ई.पू. १०७५	1075
पोडोल्स्क	Podolsk
अधातु	Nemetalo
५	5
३	3
२	2
बुखारेस्ट	Bukareŝto
लुभ्र दरवार	Luvro
पुएर्टो रिको स्वातन्त्र पार्टी	Partio de la Sendependeco de Porto-Riko
टिराना	Tirano
सन् १९२८	1928
सन् ६	6
पुरानो करार	Malnova testamento
क्रिसमस	Kristnasko
त्रिभुज	Triangulo
स्टिभ जब्स	Steve Jobs
लेडी गागा	Lady Gaga
भारोपेली भाषा परिवार	Hindeŭropa lingvaro
कर्णेल मुअम्मर गद्दाफी	Muamar Kadafi
बाघ	Tigro
लण्डन अण्डरग्राउण्ड	Metroo de Londono
भिल्हेल्म लिबक्नेख्त	Wilhelm Liebknecht
साई	PSY (kantisto)
कुकुरका प्रजातीहरू	Listo de hundrasoj
प्राकृतिक सङ्ख्या	Natura nombro
समाजशास्त्र	Sociologio
अरुबा	Arubo
अन्तर्राष्ट्रीय ध्वन्यात्मक लिपि	Internacia Fonetika Alfabeto
ओडिशा	Odiŝo
पञ्जाब (भारत)	Panĝabo (Barato)
खनिज तेल	Nafto
भौगोलिक निर्देशाङ्क प्रणाली	Geografia koordinata sistemo
यूरोकप २०१२	Eŭropa Futbal-Ĉampionado 2012
बैंक	Banko
जनसंख्या घनत्व	Loĝdenso
सन् १	1
१०	10
एड्ली (गायिका)	Adele (kantistino)
गोफ विट्ल्याम	Gough Whitlam
सन् ९	9
एडमण्ड बार्टन	Edmund Barton
७	7
कृस वाट्सन	Chris Watson
सन् ८	8
१२	12
हप्ता	Semajno
हरिण	Cervedoj
बरफ	Glacio
लसुन	Ajlo
रातो सागर	Ruĝa Maro
बोउभेट टापु	Buvet-Insulo
ई.पू. ९३०	930
१३	13
ई.पू. ९८५	985
ई.पू. ९८१	981
ई.पू. ९३९	939
काँक्रो	Kukumo
उलानबटोर	Ulaanbaataro
अर्नेस्ट हेमिङ्वे	Ernest Hemingway
सेतो	Blanko
कालो	Nigro
ई.पू. ९५०	950
ई.पू. ९९६	996
ई.पू. ९८०	980
ई.पू. ९८६	988
प्याज	Cepo
पुरातत्त्वशास्त्र	Arkeologio
गोलभेडा	Tomato
जर्ज एच डब्लु बुश	George H. W. Bush
सन् ११	11
भूमध्य रेखा(भूगोल)	Ekvatoro
नासा	NASA
हाउस (टेलिभिजन श्रृङ्खला)	House
ई.पू. ९६३	963
ई.पू. ९६२	962
ई.पू. ९९७	997
ई.पू. ९७२	972
ई.पू. ९५५	955
ई.पू. ९३६	936
ई.पू. ९५३	953
ई.पू. ९५८	958
सन् ९०३	903
बर्मुडा	Bermudo
ई.पू. ९८७	987
ई.पू. ९६५	965
ई.पू. ९२४	924
ई.पू. ९५१	951
ई.पू. ९३२	932
बेलायत	Britio (insulo)
जिम्मी कार्टर	Jimmy Carter
राष्ट्रगान	Nacia himno
ई.पू. ९६७	967
ई.पू. ९८९	989
ई.पू. ९६०	960
ई.पू. ९६९	969
ई.पू. ९५७	957
ई.पू. ९७१	971
ई.पू. ९३७	937
ई.पू. ९९२	992
ई.पू. ९९०	990
ई.पू. ९७५	975
ई.पू. ९४२	942
ई.पू. ९६६	966
ई.पू. ९७३	973
चुनढुङ्गा	Kalkoŝtono
रोवान एटकिनसन	Rowan Atkinson
ई.पू. ९८२	982
ई.पू. ९७४	974
ई.पू. ९७६	976
ई.पू. ९७९	979
ई.पू. ९९८	998
प्यालेस्टाइन	Palestino
ई.पू. ९९५	995
ई.पू. ९७७	977
ई.पू. ९३४	934
परमाणु क्रमांक	Atomnumero
अल्फ्रेड नोबेल	Alfred Nobel
ई.पू. ९४०	940
काइँयो	Kombilo
ई.पू. ९८४	984
ई.पू. ९५४	954
मानव शरीर	Homa korpo
ई.पू. ९६१	961
एन्ड्र्यु गारफिल्ड	Andrew Garfield
ई.पू. ९४६	946
ई.पू. ९६८	968
ई.पू. ९८३	983
ई.पू. ९६४	964
ई.पू. ९७०	970
ई.पू. ९९१	991
ई.पू. ९९४	994
ई.पू. ९४४	944
ई.पू. ९४३	943
ई.पू. ९४१	941
ई.पू. ९४८	948
ई.पू. ९४७	947
ई.पू. ९४९	949
ऋतु	Sezono
ई.पू. ९३८	938
लिभरपुल	Liverpool
वर्तिका भारद्वाज	Mallongfingra alaŭdo
अवतार (२००९ चलचित्र)	Avatar (filmo)
लाटोकोसेरो	Strigoformaj birdoj
नेदरल्याण्डस एन्टिलस	Nederlandaj Antiloj
एन्गुला	Angvilo
गुर्न्जी	Guernsey
केराउ	Ĝardena pizo
सउर	Betulo
सन् २०१६	2016
फाप्रे चरा	Upupedoj
अन्तर्राष्ट्रिय अन्तरिक्ष स्टेशन	Internacia Kosmostacio
आईएसओ ३१६६-१	ISO 3166-1
उप्साला	Upsalo
सन् २०१७	2017
सन् २०१८	2018
छोकडाको बोट	Daktilopalmo
भाषा परिवार	Lingva familio
ई.पू. २	-2
ई.पू. १	-1
सुनगाभा	Orkidacoj
साङ्ला	Blato
झिँगा	Dipteroj
फूल फुल्ने वनस्पति	Angiospermoj
गोठे लाटोकोसेरो	Turstrigo
पाँचथोप्ले खपटे कीरा	Kokcinelo
मलाहा चील	Fiŝaglo
सन् २०२०	2020
बहुरुपी मलसाँप्रो	Ermeno
हरियो टाउके	Platbeka anaso
बलाकांक्ष वनबाज	Akcipitro
ई.पू. १२३	-123
ई.पू. २३४	-234
मरुल	Nigra fuliko
खैरो गौंथली	Ordinara apuso
वनबाज	Nizo
चित्रकचरी	Fringo
लामकाने लाटोकोसेरो	Orelstrigo
श्येनबाज	Komuna buteo
जुरे हुटिट्याउँ	Vanelo
सालक	Maniso
कालो गरुड	Nigra cikonio
सेतो टिकटिके	Blanka motacilo
रक्तमुहार पीतचरी	Kardelo
डुबुल्कीचरा	Tufgrebo
ई.पू. ३४५	-345
केशर	Safrano
कङ्कम चील	Blankvosta maraglo
सुइरोपुच्छ्रे	Pintvostanaso
ई.पू. ४५६	-456
चल्लाचोर भुइँचील	Blua cirkuo
महाराज हंस	Kantocigno
कालोटाउके गंगाचील	Ridmevo
श्वेताँखीभौं	Marĉanaso
खरलाहाँचे	Eŭrazia koltordulo
पानी चाहा	Ordinara galinago
विजुलागैरी	Kreko
कैलो पहाडी उल्लू	Arbarstrigo
लालठुँडे चखेवा	Ordinara tadorno
लघुकर्ण लाटोकोसेरो	Marĉostrigo
जुंगे चिरान्तक बाज	Alaŭdfalko
कलहाँस	Griza ansero
खडखडे हाँस	Knaranaso
सिपी चरा	Hematopo
बेल्चाठुँडे हाँस	Kuleranaso
रूख भँगेरा	Kampopasero
पहेंलो टिकटिके	Flava motacilo
ठूलो वनपरेवा	Palumbo
खैरोटाउके गंगाचील	Brunkapa mevo
लघु फ्यालफ्याले	Malgranda ŝterno
ठूलो चाहा	Eŭrazia skolopo
हलीमुख	Avoceto
सुन बगेडी	Flava emberizo
कोइली	Kukoledoj
राजसुड्सुडिया	Duelbirdo
मिउ गंगाचील	Griza mevo
सिम भुइँचील	Marĉa cirkuo
कालीजुरे हाँस	Tufanaso
सिन्दुरे हाँस	Fajfanaso
बौंडाई	Turfalko
बूढो मान्छे र समुद्र	La oldulo kaj la maro
उपग्रह	Artefarita satelito
याक	Gruntbovo
मोन्टागु भुइँचील	Griza cirkuo
लामपुच्छ्रे हाँस	Longvosta klangulo
टुन्ड्रा राजहंस	Malgranda cigno
कालोटाउके हाँस	Rokanaso
गोभण्डीर चाहा	Malgranda galinago
ल्वाङको बोट	Kariofilo
कैलोटाउके हाँस	Brunkapa anaso
ओथेलो	Otelo
टेलर स्विफ्ट	Taylor Swift
बगर ज्यामी	Koluma ŝtonturnulo
सेतोजुंगे बगेडी	Kanemberizo
जुरे भारद्वाज	Tufalaŭdo
कुक टापु	Kukinsuloj
चम्सुर	Ĝardenkreso
रातो जलरङ्क	Granda kalidro
केकरा फ्यालफ्याले	Kaspia ŝterno
धूलिका चुइयाँ	Sablopipio
हिमाली मलसाँप्रो	Foino
एसी/डीसी	AC/DC
मिखाइल बाकुनिन	Miĥail Bakunin
जंगली घोडा	Sovaĝa ĉevalo
थोप्ले टिमटिमा	Malhela tringo
दालचिनी	Cinamo
मसिनोठुँडे टिमटिमा	Marĉotringo
बट्टाई	Ordinara koturno
कुरिलो	Asparago
चमेरो	Kiropteroj
रूख सुड्सुडिया	Blankpuga tringo
कपाल	Haro
कुरारी फ्यालफ्याले	Rivera ŝterno
एंगोला जनमुक्ति आंदोलन - श्रम दल	MPLA
युनिता	Nacia Kuniĝo por la Tuta Sendependeco de Angolo
प्याराडाइज लस्ट	Perdita Paradizo
फिल्ड पुरस्कार	Medalo Fields
पाइथन प्रोग्रामिङ्ग भाषा	Python (programlingvo)
इस्लामी क्यालेण्डर	Islama kalendaro
